,,,,,,,,,,,,,,,,,,
,Gas Signatures,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Barren Perimeter Reservoir,,,,,,,,,,,,,,,,,
,Gas Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$2,000,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$154
,Defenders,,,,,,-6,,,,,,74,535,"13,000",,,
,,3,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,Gas Value,"$82,432,500"
,,2,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,,,,Units,m3,ISK/m3,ISK,,,,,,,,,,,
,Gas,,,,,,,,,,,,,,,,,
,,,Fullerite-C50,"12,000","12,000","$4,795","$57,536,520",,,,,,,,,,,
,,,Fullerite-C60,"6,000","6,000","$4,149","$24,895,980",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Bountiful Frontier Reservoir,,,,,,,,,,,,,,,,,
,Gas Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$20,000,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$151
,Defenders,,,,,6,,,,,,,373,"3,385","132,533",,,
,,6,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,Gas Value,"$307,506,960"
,,4,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,,,Units,m3,ISK/m3,ISK,,,,,,,,,,,
,Gas,,,,,,,,,,,,,,,,,
,,,Fullerite-C28,"20,000","40,000","$5,853","$234,111,200",,,,,,,,,,,
,,,Fullerite-C32,"4,000","20,000","$3,670","$73,395,760",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Instrumental Core Reservoir,,,,,,,,,,,,,,,,,
,Gas Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$63,600,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$108
,Defenders,,,,4,4,-72,,,,,,"1,859","22,982","590,857",,,
,,4,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,Gas Value,"$1,012,255,140"
,,,,Units,m3,ISK/m3,ISK,,,,,,,,,,,
,Gas,,,,,,,,,,,,,,,,,
,,,Fullerite-C320,"24,000","120,000","$7,616","$913,879,440",,,,,,,,,,,
,,,Fullerite-C540,2000,"20,000","$4,919","$98,375,700",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Minor Perimeter Reservoir,,,,,,,,,,,,,,,,,
,Gas Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$2,000,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$52
,Defenders,,,,,,,,,,,,84,864,"38,333",,,
,,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,Gas Value,"$126,600,000"
,,,,Units,m3,ISK/m3,ISK,,,,,,,,,,,
,Gas,,,,,,,,,,,,,,,,,
,,,Fullerite-C70,"12,000","12,000","$6,949","$83,388,120",,,,,,,,,,,
,,,Fullerite-C72,"6,000","12,000","$3,601","$43,211,880",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Ordinary Perimeter Reservoir,,,,,,,,,,,,,,,,,
,Gas Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,$0
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$0
,Defenders,,,,,,-9,,,,,,86,630,"15,000",,,
,,3,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,Gas Value,"$142,759,260"
,,3,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,,,,Units,m3,ISK/m3,ISK,,,,,,,,,,,
,Gas,,,,,,,,,,,,,,,,,
