,,,,,,,,,,,,,,,,,,
,Class 4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Frontier Conversion Module,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$146,500,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$96
,Wave 1,,Trigger on Hack,,1,7,-30,,,,,,"1,542","15,140","422,635",,,
,,1,Wakeful Sentry Tower,T,0,0,0,0,50,0,0,0,73,"1,092","15,167",,,
,,6,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,,6,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,1,Sleepless Upholder,B,0,0,-10,0,400,800,"65,000",100,439,"2,957","56,400",,,
,Opt,1,Sleepless Safeguard,B,1,1,-20,0,400,"1,320","15,000",165,539,"6,496","164,868",,,
,Wave 2,,,,,8,,,,,,,"1,494","17,235","437,167",,,
,,5,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,,5,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,Trigger,3,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,Wave 3,,,,4,4,-80,,,,,,"2,155","25,984","659,474",,,
,,4,Sleepless Safeguard,B,1,1,-20,0,400,"1,320","15,000",165,539,"6,496","164,868",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Frontier Evacuation Center,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$91,600,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$110
,Wave 1,,Trigger on Hack,,,5,,65,,,,,761,"10,074","196,667",,,
,,4,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,,1,Sleepless Preserver,B,0,0,0,65,400,"1,080","55,000",135,308,"4,962","85,867",,,
,Opt,1,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,Wave 2,,,,,,,130,,,,,852,"12,342","279,067",,,
,,4,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,Trigger,2,Sleepless Preserver,B,0,0,0,65,400,"1,080","55,000",135,308,"4,962","85,867",,,
,Wave 3,,,,,2,,130,,,,,"1,339","18,861","359,733",,,
,,2,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,,2,Sleepless Preserver,B,0,0,0,65,400,"1,080","55,000",135,308,"4,962","85,867",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Frontier Barracks,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$86,700,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$147
,Wave 1,,,,,,-10,65,,,,,747,"7,918","142,267",,,
,Trigger,1,Sleepless Preserver,B,0,0,0,65,400,"1,080","55,000",135,308,"4,962","85,867",,,
,,1,Sleepless Upholder,B,0,0,-10,0,400,800,"65,000",100,439,"2,957","56,400",,,
,Wave 2,,,,,,-30,104,,,,,"1,472","9,951","202,800",,,
,,2,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,Trigger,3,Sleepless Upholder,B,0,0,-10,0,400,800,"65,000",100,439,"2,957","56,400",,,
,Wave 3,,,,3,3,-9,338,,,,,"1,019","12,767","244,393",,,
,,3,Emergent Preserver,F,1,1,-3,0,35,"2,600","5,000",325,32,228,"1,820",,,
,,4,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,,2,Sleepless Preserver,B,0,0,0,65,400,"1,080","55,000",135,308,"4,962","85,867",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Frontier Command Post,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$92,300,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$115
,Wave 1,,,,4,8,-12,,,,,,581,"7,014","99,913",,,
,,5,Wakeful Sentry Tower,T,0,0,0,0,50,0,0,0,73,"1,092","15,167",,,
,,4,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,Trigger,4,Emergent Preserver,F,1,1,-3,0,35,"2,600","5,000",325,32,228,"1,820",,,
,Wave 2,,,,,2,-12,76,,,,,"1,146","13,098","360,200",,,
,,4,Emergent Upholder,F,0,0,-3,19,35,"2,400","5,000",300,17,133,"2,800",,,
,Trigger,6,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,2,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,Wave 3,,,,,,,299,,,,,"1,196","17,175","344,867",,,
,,2,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,2,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,,3,Sleepless Preserver,B,0,0,0,65,400,"1,080","55,000",135,308,"4,962","85,867",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Integrated Terminus,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$56,800,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$126
,Wave 1,,,,,,-9,57,,,,,579,"7,186","176,400",,,
,,4,Wakeful Sentry Tower,T,0,0,0,0,50,0,0,0,73,"1,092","15,167",,,
,,3,Emergent Upholder,F,0,0,-3,19,35,"2,400","5,000",300,17,133,"2,800",,,
,Trigger,4,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,Wave 2,,,,2,6,-30,104,,,,,391,"3,025","86,240",,,
